code
US.AAPL
US.MSFT
US.NVDA
US.AMZN
US.GOOGL
US.META
US.TSLA
US.AVGO
US.AMD
US.NFLX
US.ORCL
US.CRM
US.ADBE
US.INTC
US.QCOM
US.MU
US.TXN
US.AMAT
US.LRCX
US.KLAC
US.SNOW
US.PLTR
US.CRWD
US.PANW
US.ZS
US.DDOG
US.NET
US.MDB
US.SHOP
US.UBER
US.ABNB
US.DASH
US.COIN
US.HOOD
US.XYZ
US.PYPL
US.SOFI
US.AFRM
US.ROKU
US.SPOT
US.JPM
US.BAC
US.WFC
US.GS
US.MS
US.C
US.SCHW
US.AXP
US.V
US.MA
US.UNH
US.LLY
US.JNJ
US.PFE
US.MRK
US.ABBV
US.AMGN
US.MRNA
US.ISRG
US.DXCM
US.WMT
US.COST
US.TGT
US.HD
US.LOW
US.NKE
US.SBUX
US.MCD
US.CMG
US.LULU
US.DG
US.DLTR
US.ULTA
US.XOM
US.CVX
US.OXY
US.SLB
US.BA
US.CAT
US.DE
US.GE
US.UPS
US.FDX
US.DAL
US.DIS
US.CMCSA
US.T
US.VZ
US.SMCI
US.ARM
US.ANET
US.DELL
US.ENPH
